lithofm,geoarea1,geoarea2,lithogp,chrono,rock1,rock2,rock3,fossils1,fossils2,depo,depo2,depo3,depo4
MousaFm,NorthernNorthSea,CentralNorthSea,StronsayGp,Eocene,Sandstone,,,dinoflagellates,,MarineDepositionalEnv,ShelfDepositionalEnvironment,,
HordaFm,NorthernNorthSea,CentralNorthSea,StronsayGp,Eocene,Mudstone,Sandstone,,Foraminifera,,MarineDepositionalEnv,OuterShelfDepositionalEnvironment,AbyssalFan,
GridSandstoneMb,NorthernNorthSea,CentralNorthSea,StronsayGp,Eocene,Sandstone,Mudstone,,Foraminifera,,MarineDepositionalEnv,AbyssalFan,,
TaySandstoneMb,CentralNorthSea,,StronsayGp,Eocene,Sandstone,,,,,MarineDepositionalEnv,AbyssalFan,,
BalderFm,NorthernNorthSea,CentralNorthSea,MorayGp,Eocene,Mudstone,,,Diatoms,,MarineDepositionalEnv,ShelfDepositionalEnvironment,ShallowMarineDepositionalEnv,
BeaulyFm,NorthernNorthSea,CentralNorthSea,MorayGp,Eocene,Sandstone,Mudstone,Coal,Palynomorphs,,TransitionalDepositionalEnv,TidalFlatDepositionalEnv,,
SeleFm,NorthernNorthSea,CentralNorthSea,MorayGp,Eocene,Mudstone,,,Diatoms,,TransitionalDepositionalEnv,AbyssalFan,,
DornochFm,NorthernNorthSea,CentralNorthSea,MorayGp,Eocene,Sandstone,Siltstone,Mudstone,Diatoms,,TransitionalDepositionalEnv,CoastalToShallowMarineDepositionalEnvironment,ProdeltaDepositionalEnvironment,ShelfDepositionalEnvironment
ListaFm,NorthernNorthSea,CentralNorthSea,MontroseGp,Paleocene,Mudstone,,,Foraminifera,,MarineDepositionalEnv,OuterShelfDepositionalEnvironment,DeepMarineDepositionalEnvironment,
MaureenFm,NorthernNorthSea,CentralNorthSea,MontroseGp,Paleocene,Mudstone,Siltstone,Sandstone,Foraminifera,,MarineDepositionalEnv,OpenMarine,AbyssalFan,
CormorantFm,NorthernNorthSea,,HeronGp,Triassic,Sandstone,Mudstone,Limestone,,,ContinentalDepositionalEnv,AlluvialDepositionalEnv,FluvialLacustrineDepositionalEnv,
HopemanSandstoneFm,CentralNorthSea,,HeronGp,Triassic,Sandstone,,,,,ContinentalDepositionalEnv,AeolianDepositionalEnv,,
LossieheadFm,CentralNorthSea,,HeronGp,Triassic,Sandstone,Siltstone,Mudstone,,,ContinentalDepositionalEnv,AlluvialDepositionalEnv,,
SkagerrakFm,NorthernNorthSea,CentralNorthSea,HeronGp,UpperTriassic,Sandstone,Mudstone,,,,ContinentalDepositionalEnv,AlluvialDepositionalEnv,FluvialChannel,
SmithBankFm,NorthernNorthSea,CentralNorthSea,HeronGp,LowerTriassic,Mudstone,,,,,ContinentalDepositionalEnv,LacustrineDepositionalEnv,,
StotfieldCalcreteFm,CentralNorthSea,,HeronGp,LowerTriassic,Limestone,Mudstone,,,,ContinentalDepositionalEnv,AlluvialDepositionalEnv,,
BosiesBankFm,NorthernNorthSea,CentralNorthSea,ZechsteinGp,UpperPermian,Sandstone,Siltstone,Mudstone,,,ContinentalDepositionalEnv,FluvialLacustrineDepositionalEnv,,
HalibutCarbonateFm,NorthernNorthSea,,ZechsteinGp,UpperPermian,Limestone,,,,,MarineDepositionalEnv,ShallowMarineToDeepMarineDepositionalEnvironment,ReefalDepositionalEnvironment,
KupferschieferFm,NorthernNorthSea,CentralNorthSea,ZechsteinGp,UpperPermian,Mudstone,,,,,MarineDepositionalEnv,ShallowMarineToDeepMarineDepositionalEnvironment,,
